NOP58	NOP58
SZRD1	SZRD1
KCNH2	KCNH2
CUL1	CUL1
FAM114A2	FAM114A2
CYFIP2	CYFIP2
TAB2	TAB2
GINM1	GINM1
EIF2AK2	EIF2AK2
USP36	USP36
KMT2C	KMT2C
MCOLN3	MCOLN3
PUM2	PUM2
MRPL43	MRPL43
ITIH4	ITIH4
C4orf27	C4orf27
ZFR	ZFR
ZNF280C	ZNF280C
NPFFR2	NPFFR2
PHF21B	PHF21B
TRAF1	TRAF1
RC3H2	RC3H2
PCGF2	PCGF2
IL17RB	IL17RB
TRAF3IP2	TRAF3IP2
GYG2	GYG2
DCBLD2	DCBLD2
SERPINB3	SERPINB3
SOAT1	SOAT1
PKP2	PKP2
MSH4	MSH4
F7	F7
GDI2	GDI2
PRDM1	PRDM1
ATG5	ATG5
TMCC3	TMCC3
PITHD1	PITHD1
MTA3	MTA3
USP13	USP13
ATP11B	ATP11B
LAMC2	LAMC2
CDK14	CDK14
SEC61A1	SEC61A1
PPP1R12A	PPP1R12A
RASGRF1	RASGRF1
CAMK2B	CAMK2B
CROCC	CROCC
POLR3E	POLR3E
ATP2B4	ATP2B4
ZC3H11A	ZC3H11A
RIOK2	RIOK2
YIPF1	YIPF1
NDC1	NDC1
DGKG	DGKG
FLYWCH1	FLYWCH1
UNKL	UNKL
TBXAS1	TBXAS1
PARP12	PARP12
ALDH18A1	ALDH18A1
TARBP1	TARBP1
PET112	PET112
MXD1	MXD1
CDK17	CDK17
DNAJC25	DNAJC25
SLC2A3	SLC2A3
PSD	PSD
CTDP1	CTDP1
YBX3	YBX3
STYK1	STYK1
WNK1	WNK1
CCAR1	CCAR1
OGFR	OGFR
GNA15	GNA15
CREB3L3	CREB3L3
PIGV	PIGV
PTPRU	PTPRU
SNRNP40	SNRNP40
RIMBP2	RIMBP2
COL11A1	COL11A1
QSER1	QSER1
MPC1	MPC1
ACAA1	ACAA1
BCAT1	BCAT1
HDAC7	HDAC7
LZTS1	LZTS1
PRDM6	PRDM6
SPAG4	SPAG4
NCKAP1	NCKAP1
MRPS35	MRPS35
GUCY1B3	GUCY1B3
SFSWAP	SFSWAP
TNK2	TNK2
MON2	MON2
CDH3	CDH3
GPBP1	GPBP1
DGAT2	DGAT2
ZNF112	ZNF112
CS	CS
LTK	LTK
MRPS24	MRPS24
ELMO2	ELMO2
WAPAL	WAPAL
VMP1	VMP1
APPBP2	APPBP2
POLD1	POLD1
SEZ6	SEZ6
EIF4B	EIF4B
SLC6A16	SLC6A16
GLTSCR1	GLTSCR1
SPHK2	SPHK2
RPL18	RPL18
CA11	CA11
ISOC2	ISOC2
U2AF2	U2AF2
EPN1	EPN1
MED29	MED29
AHRR	AHRR
ZNF275	ZNF275
MTMR1	MTMR1
GPC1	GPC1
ADCK1	ADCK1
HAGH	HAGH
RNF4	RNF4
CASP8	CASP8
LIMCH1	LIMCH1
ASUN	ASUN
TM7SF3	TM7SF3
DLX3	DLX3
SPA17	SPA17
TSPAN32	TSPAN32
WISP2	WISP2
ST3GAL6	ST3GAL6
ATP2C2	ATP2C2
NGFR	NGFR
CDON	CDON
TAF2	TAF2
HIPK2	HIPK2
TNPO3	TNPO3
RFXANK	RFXANK
TMEM161A	TMEM161A
LPAR2	LPAR2
CTSA	CTSA
SUGP2	SUGP2
SLC12A2	SLC12A2
SNX24	SNX24
EYA2	EYA2
CNN2	CNN2
ABCA7	ABCA7
SNCAIP	SNCAIP
DDX20	DDX20
BTBD1	BTBD1
FAR2	FAR2
BCAS1	BCAS1
CHI3L2	CHI3L2
SBNO2	SBNO2
PMS1	PMS1
HMG20B	HMG20B
CALCRL	CALCRL
TAF11	TAF11
ANKS1A	ANKS1A
AP3D1	AP3D1
ZNF76	ZNF76
SLC9A3R2	SLC9A3R2
NTHL1	NTHL1
UHRF1BP1	UHRF1BP1
GNAI3	GNAI3
IPO5	IPO5
OAT	OAT
WDR3	WDR3
PKN2	PKN2
WDR18	WDR18
TRAM2	TRAM2
NTN1	NTN1
GLP2R	GLP2R
MCM10	MCM10
DGKA	DGKA
ERBB3	ERBB3
ROPN1	ROPN1
ANKRD44	ANKRD44
KARS	KARS
ADAT1	ADAT1
PDIA5	PDIA5
TBC1D22B	TBC1D22B
NDUFB4	NDUFB4
SPEN	SPEN
MYLK	MYLK
ZC3H15	ZC3H15
MAP2K4	MAP2K4
TMEM206	TMEM206
SNAP91	SNAP91
SLK	SLK
CYB5R4	CYB5R4
COL17A1	COL17A1
GSTO2	GSTO2
SEC61A2	SEC61A2
PRKCQ	PRKCQ
TLE2	TLE2
ASB1	ASB1
FAM107B	FAM107B
ME1	ME1
TBC1D1	TBC1D1
CDK13	CDK13
MTHFD2	MTHFD2
SLC9A7	SLC9A7
FOXJ2	FOXJ2
YBX1	YBX1
PDE4A	PDE4A
PPP2R5A	PPP2R5A
CTNNA2	CTNNA2
ELAVL1	ELAVL1
TIE1	TIE1
DIP2B	DIP2B
SMARCD1	SMARCD1
KDM4A	KDM4A
NFYC	NFYC
ZMYND12	ZMYND12
SLC9A3	SLC9A3
NGEF	NGEF
ASPM	ASPM
CD84	CD84
ELOVL1	ELOVL1
SPI1	SPI1
ZNRD1	ZNRD1
MPPED2	MPPED2
CLDN18	CLDN18
ZBTB11	ZBTB11
ATXN3	ATXN3
GOLGA5	GOLGA5
FGFR2	FGFR2
LRRC40	LRRC40
ISOC1	ISOC1
EML1	EML1
TRMT11	TRMT11
THUMPD1	THUMPD1
MSANTD3	MSANTD3
KIF26A	KIF26A
ATG2B	ATG2B
ARFGEF1	ARFGEF1
ZFAT	ZFAT
MTFR1	MTFR1
STAG3	STAG3
FECH	FECH
MYO9A	MYO9A
DDX3Y	DDX3Y
PFKP	PFKP
IDI1	IDI1
SP100	SP100
KLF6	KLF6
PPAP2A	PPAP2A
NEO1	NEO1
TRAM1	TRAM1
PHKA1	PHKA1
TNFRSF1A	TNFRSF1A
CACNB1	CACNB1
EVI5	EVI5
STOML1	STOML1
PKM	PKM
DHX29	DHX29
DNTTIP2	DNTTIP2
METTL22	METTL22
TP53BP1	TP53BP1
TRO	TRO
RRP15	RRP15
RHOA	RHOA
DHX8	DHX8
PMS2P4	PMS2P4
PRKCZ	PRKCZ
ZFY	ZFY
IARS2	IARS2
SYT1	SYT1
NAV3	NAV3
IDH3G	IDH3G
ROGDI	ROGDI
PDZD4	PDZD4
ATP2B3	ATP2B3
ROCK1	ROCK1
CBFB	CBFB
PDK3	PDK3
HYAL2	HYAL2
HDAC4	HDAC4
RASSF1	RASSF1
FGFR3	FGFR3
IFI35	IFI35
HEATR6	HEATR6
COASY	COASY
PLEKHH3	PLEKHH3
MEF2A	MEF2A
OTUD5	OTUD5
TFE3	TFE3
TBC1D25	TBC1D25
ACSL4	ACSL4
INPP5A	INPP5A
GPKOW	GPKOW
GRIPAP1	GRIPAP1
FTSJ1	FTSJ1
PRR11	PRR11
REEP1	REEP1
ATP11A	ATP11A
POLR1A	POLR1A
LAPTM4A	LAPTM4A
TTC7A	TTC7A
IP6K2	IP6K2
SRBD1	SRBD1
CYFIP1	CYFIP1
KIF2A	KIF2A
RASGRP2	RASGRP2
PSME4	PSME4
IFT80	IFT80
SIRT2	SIRT2
ERLEC1	ERLEC1
PPP2R5B	PPP2R5B
PYGM	PYGM
PITX1	PITX1
MAST4	MAST4
GPR116	GPR116
SDK2	SDK2
NUP133	NUP133
NUCKS1	NUCKS1
VPS35	VPS35
DNAJA2	DNAJA2
BCL3	BCL3
KCNAB2	KCNAB2
ABCC9	ABCC9
GAL	GAL
CLEC2D	CLEC2D
FUNDC1	FUNDC1
MAOB	MAOB
RORA	RORA
DRD4	DRD4
TGFBR3	TGFBR3
KIAA1107	KIAA1107
PLA2G10	PLA2G10
HES2	HES2
ATP1B3	ATP1B3
NEDD4	NEDD4
PIGB	PIGB
MAPK6	MAPK6
GNB5	GNB5
RAB27A	RAB27A
CECR5	CECR5
UFD1L	UFD1L
LRP6	LRP6
GUCY2C	GUCY2C
SCT	SCT
PHRF1	PHRF1
IKBKAP	IKBKAP
NUCB2	NUCB2
PFN2	PFN2
PTPN3	PTPN3
SPTB	SPTB
DAPP1	DAPP1
FGF10	FGF10
SLC44A1	SLC44A1
TMEM260	TMEM260
SMG6	SMG6
EXOC5	EXOC5
CLTCL1	CLTCL1
FSTL3	FSTL3
DGCR2	DGCR2
RNF126	RNF126
MNT	MNT
ZXDC	ZXDC
JMJD6	JMJD6
POLB	POLB
ST6GALNAC1	ST6GALNAC1
WIPI1	WIPI1
FRMPD1	FRMPD1
GBA2	GBA2
NDST1	NDST1
ASNS	ASNS
AP3M2	AP3M2
ST6GALNAC2	ST6GALNAC2
PABPC1	PABPC1
TESK2	TESK2
C16orf80	C16orf80
CSNK2A2	CSNK2A2
PTPN21	PTPN21
EIF2B3	EIF2B3
TCOF1	TCOF1
CDC42	CDC42
OSBPL3	OSBPL3
SLC12A3	SLC12A3
RAD18	RAD18
ATP2B1	ATP2B1
TRPM5	TRPM5
NCK2	NCK2
MAP4K4	MAP4K4
MGAT4A	MGAT4A
RPL31	RPL31
WDR1	WDR1
SNX13	SNX13
ARHGAP10	ARHGAP10
RPS6KA2	RPS6KA2
ING3	ING3
VASH1	VASH1
LMCD1	LMCD1
WBSCR22	WBSCR22
SEL1L	SEL1L
TRIP13	TRIP13
ATP6AP1	ATP6AP1
TCF3	TCF3
TRIB2	TRIB2
DAZAP1	DAZAP1
MBD3	MBD3
PRLH	PRLH
HLTF	HLTF
FAM50A	FAM50A
FAM3A	FAM3A
CPSF1	CPSF1
MYO3B	MYO3B
CYBRD1	CYBRD1
CDH19	CDH19
PDCD2	PDCD2
SLC6A15	SLC6A15
RDH11	RDH11
PRKACA	PRKACA
LPHN1	LPHN1
ACTN1	ACTN1
ZFYVE26	ZFYVE26
RPS6KA6	RPS6KA6
EPN2	EPN2
PTPN18	PTPN18
LIMS2	LIMS2
ASIC4	ASIC4
SPEG	SPEG
LNX1	LNX1
ALDH3A2	ALDH3A2
TFRC	TFRC
SREBF1	SREBF1
AFF4	AFF4
UBE2D1	UBE2D1
MPP5	MPP5
RHOBTB1	RHOBTB1
ASAH2C	ASAH2C
SMC1A	SMC1A
HSD17B10	HSD17B10
MARK2	MARK2
HMMR	HMMR
CHFR	CHFR
TRHDE	TRHDE
P4HA2	P4HA2
FCGR2B	FCGR2B
NFATC3	NFATC3
TRNT1	TRNT1
ACADVL	ACADVL
STK10	STK10
FBXW11	FBXW11
ACAP1	ACAP1
CRMP1	CRMP1
EVC	EVC
DERL2	DERL2
SIDT1	SIDT1
NDE1	NDE1
MRVI1	MRVI1
TMEM38A	TMEM38A
AP1M1	AP1M1
PVR	PVR
IKBKG	IKBKG
XRCC1	XRCC1
SCARB1	SCARB1
CYP2W1	CYP2W1
MCM2	MCM2
MOV10L1	MOV10L1
PANX2	PANX2
SELO	SELO
TP63	TP63
ALPK1	ALPK1
LLGL2	LLGL2
PDE8A	PDE8A
CLCN4	CLCN4
NLE1	NLE1
SDHA	SDHA
SMARCE1	SMARCE1
GSDMB	GSDMB
